ID,User,Time,Rating,Comment,IDRestaurant
1,PHAN LE,20/12/2023 21:13,5.2,"Gà chiên còn sống, rất tanh. Khủng khiép",1
2,Thúy,25/9/2023 15:43,5,"Đã ăn qua rồi, ăn ok ạ",1
3,Quyên Quyên,24/6/2023 11:11,5,Đã thư rất ngon,1
4,Phương Thảo,22/12/2022 14:58,1,"Tệ .. mua mang về cho 1 gói tương ớt. Và xin thêm không được. Khách ơ lại ăn thì tương free. Mua về thì lại phải mua thêm tương. Nhưng phần ăn 3 món. Cho 1 gói. Nvien không linh hoạt. Chuỗi lớn, còn thua cả một tiệm ăn nhỏ.",1
5,Quỳnh Nguyễn,23/9/2022 22:40,4.2,"21h30...2 đứa nhỏ kêu đói, sau 1 hồi bình loạn là chốt McDonal! Đang háo hức vì 2 đứa nó vừa ăn vừa khen lấy khen để, vậy mà nỡ lòng nào đến lượt mình nó lại thành ra thế này😭😭😭Cơm sống toàn tập, ăn cơm mà cứ như nhai gạo...ức chịu ko nổi😤😤😤",1
6,Tien Le,15/9/2022 11:32,7.4,"Nay có khuyến mại mua 1 tặng 1 trà kem sữa.
Uống ok, đồ ăn thì khá",1
7,Anna,4/7/2022 1:31,1,"Thề lâu lắm rồi t mới tức giận ntn . T có xem quảng cáo rồi đặt mua 2 phần happy meal để lấy minion . Vậy mà háo hức rồi khi ship tới nhận được 2 cuốn truyện . 2 cuốn truyện đó ạ ??? . Nhà t thiếu truyện hay gì ?? . Mà đã note lại là Xin hãy cho tôi minion rồi . Nếu không có thì nhân viên phải gọi báo cho khách huỷ đơn giùm chứ ?? . Đây là hành động ko tôn trọng khách hàng . Nếu khách bấm huỷ đơn thì ko bị ảnh hưởng tới điểm vận hành trên app đâuuu. Nhưng không , nhân viên kệ khách luôn. Cho đồ chơi gì là phải nhận kệ mày vì tiền mày chứ tiền tao đâu đúng ko ??? . Vậy nên 1 sao này là bạn xứng đáng nhé !!! . Đêm hôm rồi mà cứ như gặp phải lừa đảo . Quá bực mình !",1
8,Đinh Thuỵ Bích Vân,25/6/2022 20:13,10,"Nếu đây là lần đầu bạn đến 4P thì nên thử 𝗛𝗮𝗹𝗳&𝗛𝗮𝗹𝗳: 𝗣𝗶𝘇𝘇𝗮 𝟰 𝗰𝗵𝗲𝗲𝘀𝗲 & 𝗣𝗶𝘇𝘇𝗮 𝗴𝗮̀ 𝘁𝗲𝗿𝗶𝘆𝗮𝗸𝗶 (vì vị dễ ăn), 𝗠𝗶̀ 𝗰𝘂𝗮 thần thánh (must-try), 𝗦𝗮𝗹𝗮𝗱 𝘁𝗿𝗮́𝗶 𝗰𝗮̂𝘆 𝗻𝗵𝗶𝗲̣̂𝘁 đ𝗼̛́𝗶 + 𝗽𝗵𝗼̂ 𝗺𝗮𝗶 𝗕𝘂𝗿𝗿𝗮𝘁𝗮 & 𝘁𝗵𝗶̣𝘁 𝗻𝗴𝘂𝗼̣̂𝗶 , đồ ăn ở 4P theo mình thì sẽ hơi kén người ăn và nếu ăn lần đầu có thể sẽ thấy không ngon miệng, nhưng ai mà ăn quen rồi thì đảm bảo sẽ nghiện nha 😁

📍𝐏𝐢𝐳𝐳𝐚 𝟒𝐏’𝐬 𝐁𝐞𝐧 𝐓𝐡𝐚𝐧𝐡 𝐌𝐚𝐫𝐤𝐞𝐭
Số 8*** P. Bến Thành, Q.1,***⏰ 11:00AM - 00:00AM

#anuongsaigon #pizza4ps #pizza
Xem thêm",1
9,Huyen Nguyen,10/6/2022 12:43,1,"Đặt giao combo C add thêm phô mai :15k - tính tiền đầy đủ. Nhận món thì không thấy đâu. 
Làm ăn như trộm cắp. Lấy của mỗi khách hàng 15k mà ko cung cấp đúng đủ món thì chỉ là phường trộm cướp.",1
10,B Mai Luu,19/3/2022 13:48,5.6,"Hic phần cơm Mc Donald nó dở:((( nên ăn khoai tây, chicken nugget và kem là ngon . Những món khác thấy k ổn",1
